Geo-type,Geography ID,Name
Citywide,1,New York City
Borough,1,Bronx
Borough,2,Brooklyn
Borough,3,Manhattan
Borough,4,Queens
Borough,5,Staten Island
UHF42,101,Kingsbridge - Riverdale
UHF43,102,Northeast Bronx
UHF44,103,Fordham - Bronx Pk
UHF45,104,Pelham - Throgs Neck
UHF46,105,Crotona -Tremont
UHF47,106,High Bridge - Morrisania
UHF48,107,Hunts Point - Mott Haven
UHF49,201,Greenpoint
UHF50,202,Downtown - Heights - Slope
UHF51,203,Bedford Stuyvesant - Crown Heights
UHF52,204,East New York
UHF53,205,Sunset Park
UHF54,206,Borough Park
UHF55,207,East Flatbush - Flatbush
UHF56,208,Canarsie - Flatlands
UHF57,209,Bensonhurst - Bay Ridge
UHF58,210,Coney Island - Sheepshead Bay
UHF59,211,Williamsburg - Bushwick
UHF60,301,Washington Heights
UHF61,302,Central Harlem - Morningside Heights
UHF62,303,East Harlem
UHF63,304,Upper West Side
UHF64,305,Upper East Side
UHF65,306,Chelsea - Clinton
UHF66,307,Gramercy Park - Murray Hill
UHF67,308,Greenwich Village - SoHo
UHF68,309,Union Square - Lower East Side
UHF69,310,Lower Manhattan
UHF70,401,Long Island City - Astoria
UHF71,402,West Queens
UHF72,403,Flushing - Clearview
UHF73,404,Bayside - Little Neck
UHF74,405,Ridgewood - Forest Hills
UHF75,406,Fresh Meadows
UHF76,407,Southwest Queens
UHF77,408,Jamaica
UHF78,409,Southeast Queens
UHF79,410,Rockaways
UHF80,501,Port Richmond
UHF81,502,Stapleton - St. George
UHF82,503,Willowbrook
UHF83,504,South Beach - Tottenville
