UHF_id,UHF_name,Zipcodes,namezip
101,Kingsbridge - Riverdale,"1,046,310,471","Kingsbridge - Riverdale (10463,10471)"
102,Northeast Bronx,"104,661,046,910,475","Northeast Bronx (10466,10469,10475)"
103,Fordham - Bronx Pk,"10,458,104,671,046,800,000","Fordham - Bronx Pk (10458,10467,10468,10470)"
104,Pelham - Throgs Neck,"104,611,046,210,464,000,000,000,000,000","Pelham - Throgs Neck (10461,10462,10464,10465,10472,10473)"
105,Crotona -Tremont,"104,531,045,710,460","Crotona -Tremont (10453,10457,10460)"
106,High Bridge - Morrisania,"104,511,045,210,456","High Bridge - Morrisania (10451,10452,10456)"
107,Hunts Point - Mott Haven,"10,454,104,551,045,900,000","Hunts Point - Mott Haven (10454,10455,10459,10474)"
201,Greenpoint,"1,121,111,222","Greenpoint (11211,11222)"
202,Downtown - Heights - Slope,"1,120,111,205,112,150,000,000,000","Downtown - Heights - Slope (11201,11205,11215,11217,11231)"
203,Bedford Stuyvesant - Crown Heights,"1,121,211,213,112,160,000,000,000","Bedford Stuyvesant - Crown Heights (11212,11213,11216,11233,11238)"
204,East New York,"1,120,711,208","East New York (11207,11208)"
205,Sunset Park,"1,122,011,232","Sunset Park (11220,11232)"
206,Borough Park,"11,204,112,181,121,900,000","Borough Park (11204,11218,11219,11230)"
207,East Flatbush - Flatbush,"11,203,112,101,122,500,000","East Flatbush - Flatbush (11203,11210,11225,11226)"
208,Canarsie - Flatlands,"112,341,123,611,239","Canarsie - Flatlands (11234,11236,11239)"
209,Bensonhurst - Bay Ridge,"11,209,112,141,122,800,000","Bensonhurst - Bay Ridge (11209,11214,11228,11425)"
210,Coney Island - Sheepshead Bay,"11,223,112,241,122,900,000","Coney Island - Sheepshead Bay (11223,11224,11229,11235)"
211,Williamsburg - Bushwick,"112,061,122,111,237","Williamsburg - Bushwick (11206,11221,11237)"
301,Washington Heights,"100,311,003,210,033,000,000,000,000,000","Washington Heights (10031,10032,10033,10034,10039,10040)"
302,Central Harlem - Morningside Heights,"1,002,610,027,100,300,000,000,000","Central Harlem - Morningside Heights (10026,10027,10030,10037,10115)"
303,East Harlem,"1,002,910,035","East Harlem (10029,10035)"
304,Upper West Side,"10,023,100,241,002,500,000","Upper West Side (10023,10024,10025,10069)"
305,Upper East Side,"10,021,100,281,004,400,000,000,000,000,000,000","Upper East Side (10021,10028,10044,10065,10075,10128,10162)"
306,Chelsea - Clinton,"100,011,001,110,018,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Chelsea - Clinton (10001,10011,10018,10019,10020,10036,10103,10110,10111,10112,10119,10199)"
307,Gramercy Park - Murray Hill,"1,001,010,016,100,170,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Gramercy Park - Murray Hill (10010,10016,10017,10022,10152,10153,10154,10165,10167,10168,10169,10170,10171,10172,10173,10174,10177)"
308,Greenwich Village - SoHo,"100,121,001,310,014","Greenwich Village - SoHo (10012,10013,10014)"
309,Union Square - Lower East Side,"100,021,000,310,009","Union Square - Lower East Side (10002,10003,10009)"
310,Lower Manhattan,"100,051,000,610,007,000,000,000,000,000,000,000,000,000,000","Lower Manhattan (10005,10006,10007,10038,10271,10278,10279,10280,10282)"
401,Long Island City - Astoria,"11,101,111,021,110,300,000,000,000,000,000,000","Long Island City - Astoria (11101,11102,11103,11104,11105,11106,11109)"
402,West Queens,"113,691,137,011,372,000,000,000,000,000","West Queens (11369,11370,11372,11373,11377,11378)"
403,Flushing - Clearview,"113,511,135,411,355,000,000,000,000,000,000,000,000,000,000","Flushing - Clearview (11351,11354,11355,11356,11357,11358,11359,11360,11368)"
404,Bayside - Little Neck,"11,361,113,621,136,300,000","Bayside - Little Neck (11361,11362,11363,11364)"
405,Ridgewood - Forest Hills,"11,374,113,751,137,900,000","Ridgewood - Forest Hills (11374,11375,11379,11385)"
406,Fresh Meadows,"113,651,136,611,367","Fresh Meadows (11365,11366,11367)"
407,Southwest Queens,"114,141,141,511,416,000,000,000,000,000,000,000,000,000,000","Southwest Queens (11414,11415,11416,11417,11418,11419,11420,11421,11424)"
408,Jamaica,"1,141,211,423,114,320,000,000,000,000,000,000,000,000","Jamaica (11412,11423,11432,11433,11434,11435,11436,11451)"
409,Southeast Queens,"110,041,100,511,411,000,000,000,000,000,000,000,000,000,000","Southeast Queens (11004,11005,11411,11413,11422,11426,11427,11428,11429)"
410,Rockaways,"11,691,116,921,169,400,000","Rockaways (11691,11692,11694,11697)"
501,Port Richmond,"103,021,030,310,310","Port Richmond (10302,10303,10310)"
502,Stapleton - St. George,"103,011,030,410,305","Stapleton - St. George (10301,10304,10305)"
503,Willowbrook,"1,031,110,314","Willowbrook (10311,10314)"
504,South Beach - Tottenville,"1,030,610,307,103,080,000,000,000","South Beach - Tottenville (10306,10307,10308,10309,10312)"
